Title,Author,Year,Citation count,Open access,Funder,Institution,Countries count,Keyword
Antimicrobial Peptides: An Introduction,Evan F. Haney|Sarah Mansour|Robert E. W. Hancock,2016,286,NOT Open Access,Canada Research Chairs,University of British Columbia,1,Antimicrobial peptides|Antimicrobial|Antibiotics|Function (biology)|Computational biology|Biology|Antibiotic resistance|Microbiology|Genetics
Antimicrobial Peptides and Their Therapeutic Potential for Bacterial Skin Infections and Wounds,Anja Pfalzgraff|Klaus Brandenburg|Günther Weindl,2018,469,Open Access,Deutsche Forschungsgemeinschaft|Freie Universität Berlin|Servier,Freie Universität Berlin|,1,Pseudomonas aeruginosa|Acinetobacter baumannii|Antimicrobial|Antibiotics|Microbiology|Antibiotic resistance|Antimicrobial peptides|Staphylococcus aureus|Enterococcus faecium|Biofilm|Staphylococcus epidermidis|Klebsiella pneumoniae|Medicine|Biology|Bacteria|Escherichia coli
Antimicrobial Peptides: the Achilles’ Heel of Antibiotic Resistance?,Angélique Lewies|Du Plessis|Johannes F. Wentzel,2018,184,NOT Open Access,,North-West University,1,Antibiotics|Antimicrobial peptides|Antibiotic resistance|Antimicrobial|Microbiology|Biology|Medicine
Antimicrobial peptides (AMPs): A promising class of antimicrobial compounds,Mine Erdem Büyükkiraz|Zülal Kesmen,2021,435,NOT Open Access,,Cappadocia University|Erciyes University,1,Antimicrobial peptides|Antimicrobial|Biology|Microbiology|Biotechnology|Computational biology
Antibiotic-resistant bacteria show widespread collateral sensitivity to antimicrobial peptides,Viktória Lázár|Ana Martins|Réka Spohn|Lejla Daruka|Gábor Grézal|Gergely Fekete|Mónika Számel|Pramod K. Jangir|Bálint Kintses|Bálint Csörgő|Ákos Nyerges|Ádám Györkei|András Kincses|András Dér|Fruzsina R. Walter|Mária A. Deli|Edit Urbán|Zsófia Hegedüs|Gábor Olajos|Orsolya Méhi|Balázs Bálint|István Nagy|Tamás A. Martinek|Balázs Papp|Csaba Pál,2018,385,Open Access,Wellcome Trust|Boehringer Ingelheim Fonds|Hungarian Scientific Research Fund|Magyar Tudományos Akadémia|Nemzeti Kutatási Fejlesztési és Innovációs Hivatal|Horizon 2020 Framework Programme,Technion – Israel Institute of Technology|HUN-REN Szegedi Biológiai Kutatóközpont|Institute of Biochemistry|Hungarian Academy of Sciences|Institute of Biophysics|University of Szeged|SeqOmics Biotechnology (Hungary),2,Antimicrobial|Antibiotic resistance|Antimicrobial peptides|Antibiotics|Microbiology|Multiple drug resistance|Bacteria|Escherichia coli|Biology|Antibiotic sensitivity|Piperacillin|Biochemistry|Pseudomonas aeruginosa|Genetics
"Design, optimization, and nanotechnology of antimicrobial peptides: From exploration to applications",Peng Tan|Huiyang Fu|Xi Ma,2021,341,NOT Open Access,National Natural Science Foundation of China|China Agricultural University|Higher Education Discipline Innovation Project|National Key Research and Development Program of China,China Agricultural University,1,Antimicrobial peptides|Antimicrobial|Nanotechnology|Biochemical engineering|Antibiotics|Computer science|Engineering|Risk analysis (engineering)|Biology|Medicine|Materials science|Microbiology
Discovery of antimicrobial peptides in the global microbiome with machine learning,Célio Dias Santos Júnior|Marcelo D. T. Torres|Yiqian Duan|Álvaro Rodríguez del Río|Thomas Schmidt|Hui Chong|Anthony Fullam|Michael Kuhn|Chengkai Zhu|Amy Houseman|Jelena Somborski|Anna Vines|Xing‐Ming Zhao|Peer Bork|Jaime Huerta‐Cepas|César de la Fuente‐Núñez|Luís Pedro Coelho,2024,328,Open Access,"Brain and Behavior Research Foundation|Procter and Gamble|University of Pennsylvania|United Therapeutics Corporation|European Molecular Biology Laboratory|National Key Laboratory of Human Factors Engineering|American Institute of Chemical Engineers|ACE Foundation|Queensland University of Technology|National Natural Science Foundation of China|Federación Española de Enfermedades Raras|Science and Technology Commission of Shanghai Municipality|Universität Zürich|Fundación Bancaria Caixa d'Estalvis i Pensions de Barcelona|National Institutes of Health|Defense Threat Reduction Agency|Perelman School of Medicine, University of Pennsylvania|Horizon 2020 Framework Programme|Australian Research Council|National Key Research and Development Program of China|H2020 Marie Skłodowska-Curie Actions","Universidade Federal de São Carlos|Fudan University|Shanghai Institute for Science of Science|Shanghai Center for Brain Science and Brain-Inspired Technology|Translational Therapeutics (United States)|University of Pennsylvania|Instituto Nacional de Investigación y Tecnología Agraria y Alimentaria|Centre for Plant Biotechnology and Genomics|Universidad Politécnica de Madrid|University College Cork|European Molecular Biology Laboratory|APC Microbiome Institute|Sun Yat-sen University|Zhongshan Hospital|The First Affiliated Hospital, Sun Yat-sen University|Max Delbrück Center|University of Würzburg|Translational Research Institute|Queensland University of Technology",7,Biology|Antimicrobial peptides|Computational biology|Microbiome|Metagenomics|Antibiotics|Genome|Antibiotic resistance|Drug discovery|Antimicrobial|Bacteriocin|Leverage (statistics)|Gene|Microbiology|Genetics|Bioinformatics|Artificial intelligence
Synergistic effects of antimicrobial peptide DP7 combined with antibiotics against multidrug-resistant bacteria,Xiaozhe Wu|Zhan Li|Xiaolu Li|Yaomei Tian|Yingzi Fan|Chaoheng Yu|Bailing Zhou|Yi Liu|Rong Xiang|Yang Li,2017,144,Open Access,National Natural Science Foundation of China,Sichuan University|State Key Laboratory of Biotherapy|Sichuan Academy of Traditional Chinese Medicine|Affiliated Hospital of Southwest Medical University|Sichuan Center for Disease Control and Prevention|Nankai University,1,Microbiology|Antimicrobial|Antibiotics|Acinetobacter baumannii|Antibiotic resistance|Bacteria|Multiple drug resistance|Biology|Staphylococcus aureus|Pseudomonas aeruginosa|Gentamicin|Vancomycin|Antimicrobial peptides
An overview of antimicrobial peptides and the latest advances in their development,Josep M. Sierra|Ester Fusté|Francesc Rabanal|Teresa Vinuesa|Miguel Viñas,2017,277,Open Access,Generalitat de Catalunya|Universitat de Barcelona|Fundació Bosch i Gimpera|EIT Health,Universitat de Barcelona|Cooperativa de Ensino Superior Politécnico e Universitário,2,Antimicrobial peptides|Antimicrobial|Colistin|Antibiotic resistance|Antibiotics|Biology|Microbiology|Biotechnology
Application of Antimicrobial Peptides of the Innate Immune System in Combination With Conventional Antibiotics—A Novel Way to Combat Antibiotic Resistance?,Maria S. Zharkova|Д. С. Орлов|O. Yu. Golubeva|Oleg B. Chakchir|Igor E. Eliseev|Tatyana M. Grinchuk|О. В. Шамова,2019,274,Open Access,"Russian Foundation for Basic Research|University of California, Los Angeles",Institute of Experimental Medicine|Institute of Chemistry of Silicates named after I.V. Grebenshchikov|Saint Petersburg Academic University|Institute of Cytology,1,Antimicrobial peptides|Antibiotics|Cathelicidin|Microbiology|Innate immune system|Antimicrobial|Biology|Immune system|Antibiotic resistance|Polymyxin|Polymyxin B|Immunology
Prevention of ESKAPE pathogen biofilm formation by antimicrobial peptides WLBU2 and LL37,Qiao Lin|Berthony Deslouches|Ronald C. Montelaro|Y. Peter Di,2018,119,Open Access,Flight Attendant Medical Research Institute|National Institutes of Health,University of Pittsburgh,1,Biofilm|Microbiology|Colistin|Tobramycin|Antimicrobial|Vancomycin|Ceftazidime|Ciprofloxacin|Antibiotics|Antimicrobial peptides|Chemistry|Pseudomonas aeruginosa|Bacteria|Biology|Gentamicin|Staphylococcus aureus
Enhanced therapeutic index of an antimicrobial peptide in mice by increasing safety and activity against multidrug-resistant bacteria,Y. Peter Di|Qiao Lin|Chen Chen|Ronald C. Montelaro|Yohei Doi|Berthony Deslouches,2020,135,Open Access,National Institutes of Health,University of Pittsburgh|Fujita Health University Hospital,2,Antimicrobial|Multiple drug resistance|Peptide|Bacteria|Microbiology|Pharmacology|Chemistry|Antimicrobial peptides|Antibiotics|Biology|Biochemistry
Topical antimicrobial peptide formulations for wound healing: Current developments and future prospects,Raj Kumar Thapa|Dzung B. Diep|Hanne Hjorth Tønnesen,2019,371,NOT Open Access,Norges Forskningsråd,University of Oslo|Norwegian University of Life Sciences,1,Wound healing|Antimicrobial|Antimicrobial peptides|Antibiotics|Pharmacology|Medicine|Microbiology|Biology|Immunology
Antimicrobial Peptides Therapy: An Emerging Alternative for Treating Drug-Resistant Bacteria.,Ifeanyi Elibe|Emeka Innocent Nweze,2022,110,Open Access,,University of Nigeria,1,Antimicrobial|Antibiotic resistance|Antibiotics|Antimicrobial peptides|Drug resistance|Biology|Anti-Infective Agents|Medicine|Microbiology|Biotechnology
Antimicrobial peptide polymers: no escape to ESKAPE pathogens—a review,Songhita Mukhopadhyay|A. S. Bharath Prasad|Chetan Hasmukh Mehta|Usha Y. Nayak,2020,86,Open Access,Indian Council of Medical Research,Manipal Academy of Higher Education,1,Antimicrobial|Antimicrobial peptides|Nanocarriers|Antibiotic resistance|Antibiotics|Microbiology|Peptide|Chemistry|Nanotechnology|Biology|Materials science|Drug delivery|Biochemistry
Antimicrobial peptides: An alternative to traditional antibiotics,Shuaiqi Ji|Feiyu An|Taowei Zhang|Mengxue Lou|Jiawei Guo|Kexin Liu|Yi Zhu|Junrui Wu|Rina Wu,2023,190,NOT Open Access,,Shenyang Agricultural University,1,Antimicrobial|Antimicrobial peptides|Antibiotics|Antibiotic resistance|Biotechnology|Chemistry|Biochemical engineering|Microbiology|Biology|Engineering
Antimicrobial Mechanisms and Clinical Application Prospects of Antimicrobial Peptides,Xin Li|Siyao Zuo|Wang Bin|Kaiyu Zhang|Yang Wang,2022,225,Open Access,National Natural Science Foundation of China,Jilin University|First Hospital of Jilin University,1,Antimicrobial|Antimicrobial peptides|Bacteria|Biology|Microbiology|Microorganism|Antibiotics|Antibiotic resistance
"Antimicrobial Peptides (AMPs): Roles, Functions and Mechanism of Action",Roghayyeh Seyfi|Fatemeh Abarghooi Kahaki|Tahereh Ebrahimi|Soheila Montazersaheb|Shirin Eyvazi|Valiollah Babaeipour|Vahideh Tarhriz,2019,230,NOT Open Access,,Malek Ashtar University of Technology|Shahid Beheshti University of Medical Sciences|Biotechnology Research Center|Pasteur Institute of Iran|Tabriz University of Medical Sciences,1,Antimicrobial peptides|Innate immune system|Antimicrobial|Biology|Mechanism (biology)|Computational biology|Cancer|Immune system|Microbiology|Immunology|Genetics
Antimicrobial peptides: Opportunities and challenges in overcoming resistance,Cezara Bucataru|Corina Ciobănaşu,2024,198,Open Access,"Ontario Ministry of Research, Innovation and Science|Unitatea Executiva pentru Finantarea Invatamantului Superior, a Cercetarii, Dezvoltarii si Inovarii",Alexandru Ioan Cuza University,1,Antimicrobial peptides|Antimicrobial|Biology|Antibiotics|Antibiotic resistance|Drug resistance|Microbiology|Anti-Infective Agents|Drug|Biotechnology|Pharmacology
Antimicrobial peptide-conjugated graphene oxide membrane for efficient removal and effective killing of multiple drug resistant bacteria,Rajashekhar Kanchanapally|Bhanu Priya Viraka Nellore|Sudarson Sekhar Sinha|Francisco Pedraza|Stacy Jones|Avijit Pramanik|Suhash Reddy Chavva|Christine Tchounwou|Yongliang Shi|Aruna Vangara|Dhiraj K. Sardar|Paresh Chandra Ray,2015,137,Open Access,National Science Foundation|Division of Materials Research,Jackson State University|Jackson College|The University of Texas at San Antonio,1,Conjugated system|Graphene|Antimicrobial|Peptide|Membrane|Bacteria|Oxide|Chemistry|Combinatorial chemistry|Drug|Antimicrobial peptides|Nanotechnology|Biochemistry|Materials science|Organic chemistry|Pharmacology|Biology|Polymer
Antimicrobial Peptides as an Alternative for the Eradication of Bacterial Biofilms of Multi-Drug Resistant Bacteria,Janaína Teixeira Costa de Pontes|Anna Beatriz Toledo Borges|Cesar Augusto Roque‐Borda|Fernando R. Pavan,2022,95,Open Access,Fundação de Amparo à Pesquisa do Estado de São Paulo|Coordenação de Aperfeiçoamento de Pessoal de Nível Superior|Conselho Nacional de Desenvolvimento Científico e Tecnológico,Universidade Estadual Paulista (Unesp)|Catholic University of Santa María,2,Biofilm|Antimicrobial|Bacteria|Microbiology|Antibiotic resistance|Antimicrobial peptides|Drug resistance|Biology|Antibiotics
Strategies for improving antimicrobial peptide production,Soumya Deo|Kristi L. Turton|Tajinder Kainth|Ayush Kumar|Hans‐Joachim Wieden,2022,165,NOT Open Access,,University of Manitoba|University of Lethbridge,1,Antimicrobial peptides|Antimicrobial|Biology|Innate immune system|Lytic cycle|Computational biology|Biotechnology|Antibiotic resistance|Antibiotics|Microbiology|Virology|Immunology|Immune system|Virus
"Insect Cecropins, Antimicrobial Peptides with Potential Therapeutic Applications",Daniel J. Brady|Alessandro Grapputo|Ottavia Romoli|Federica Sandrelli,2019,199,Open Access,Fondazione Cassa di Risparmio di Padova e Rovigo|European Commission|Università degli Studi di Padova|H2020 Marie Skłodowska-Curie Actions,University of Padua|Institut Pasteur de la Guyane,2,Antimicrobial|Antimicrobial peptides|Antibiotics|Biology|Bacteria|Microbiology
Development of novel ultrashort antimicrobial peptide nanoparticles with potent antimicrobial and antibiofilm activities against multidrug-resistant bacteria,Ammar Almaaytah|Gubran Khalil Mohammed|Ahmad Abualhaijaa|Qosay Al‐Balas,2017,109,Open Access,"Jordan University of Science and Technology|Deanship of Research, Jordan University of Science and Technology",Pharmaceutical Biotechnology (Czechia)||Jordan University of Science and Technology,2,Antimicrobial|Multiple drug resistance|Microbiology|Bacteria|Peptide|Antibiotics|Anti-Infective Agents|Antibiotic resistance|Chemistry|Biology|Biochemistry
Antimicrobial peptides conjugated with fatty acids on the side chain of D-amino acid promises antimicrobial potency against multidrug-resistant bacteria,Chao Zhong|Ningyi Zhu|Yuewen Zhu|Tianqi Liu|Sanhu Gou|Junqiu Xie|Jia Yao|Jingman Ni,2019,127,NOT Open Access,National Natural Science Foundation of China|Key Science and Technology Foundation of Gansu Province,Lanzhou University|First Hospital of Lanzhou University,1,Antimicrobial|Antimicrobial peptides|Biochemistry|Bacteria|Fatty acid|Multiple drug resistance|Amino acid|Chemistry|Antibiotics|Biology|Microbiology
Machine learning designs non-hemolytic antimicrobial peptides,Alice Capecchi|Xingguang Cai|Hippolyte Personne|Thilo Köhler|Christian van Delden|Jean‐Louis Reymond,2021,162,Open Access,National Science Foundation|Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung|H2020 European Research Council,University of Bern|University of Geneva|University Hospital of Geneva|Office of Infectious Diseases,2,Antimicrobial|Antimicrobial peptides|Chemistry|Computer science|Computational biology|Combinatorial chemistry|Biology|Organic chemistry
"The Demand for New Antibiotics: Antimicrobial Peptides, Nanoparticles, and Combinatorial Therapies as Future Strategies in Antibacterial Agent Design",Angel León‐Buitimea|Cesar R. Garza-Cárdenas|Javier A. Garza-Cervantes|Jordy Alexis Lerma-Escalera|José Rubén Morones‐Ramírez,2020,275,Open Access,Consejo Nacional de Ciencia y Tecnología|Universidad Autónoma de Nuevo León,Universidad Autónoma de Nuevo León,1,Antibiotics|Antimicrobial|Antibacterial peptide|Anti-Infective Agents|Antimicrobial peptides|Chemistry|Biotechnology|Combinatorial chemistry|Nanotechnology|Microbiology|Antibacterial activity|Bacteria|Biology|Materials science
Combination Strategies to Enhance the Efficacy of Antimicrobial Peptides against Bacterial Biofilms,Lucia Grassi|Giuseppantonio Maisetta|Semih Esin|Giovanna Batoni,2017,198,Open Access,Università di Pisa,University of Pisa,1,Biofilm|Antimicrobial peptides|Antimicrobial|Quorum sensing|Antibiotics|Microbiology|Biology|Bacteria|Extracellular polymeric substance|Antibiotic resistance|Multidrug tolerance|Chemistry
Resistance Mechanisms to Antimicrobial Peptides in Gram-Positive Bacteria,Lucas Assoni|Barbara Milani|Marianna Ribeiro Carvalho|Lucas Natanael Nepomuceno|Natalha Tedeschi Waz|Maria Eduarda Souza Guerra|Thiago Rojas Converso|Michelle Darrieux,2020,156,Open Access,,Universidade São Francisco,1,Antimicrobial peptides|Antimicrobial|Microbiology|Biology|Bacteria|Antibiotic resistance|Bacilli|Gram-negative bacteria|Innate immune system|Lytic cycle|Enterococcus|Gram-positive bacteria|Staphylococcus aureus|Immune system|Streptococcus pyogenes|Multiple drug resistance|Antibiotics|Immunology|Escherichia coli|Virus|Biochemistry
Antimicrobial Peptides: From Design to Clinical Application,Chunye Zhang|Ming Yang,2022,132,Open Access,,University of Missouri,1,Antimicrobial peptides|Antibiotics|Microbiology|Antimicrobial|Antibiotic resistance|Efflux|Bacteria|Pathogenic bacteria|Staphylococcus aureus|Escherichia coli|Biology|Biochemistry
Engineered Cationic Antimicrobial Peptides (eCAPs) to Combat Multidrug-Resistant Bacteria,Berthony Deslouches|Ronald C. Montelaro|Ken Urish|Y. Peter Di,2020,55,Open Access,National Institutes of Health,University of Pittsburgh,1,Antimicrobial peptides|Context (archaeology)|Antibiotics|Antimicrobial|Antibiotic resistance|Multiple drug resistance|Biology|Microbiology
Alternative therapeutic strategies to treat antibiotic-resistant pathogens,Craig R. MacNair|Steven T. Rutherford|Man‐Wah Tan,2023,231,NOT Open Access,,|Gene Therapy Laboratory,1,Antibiotic resistance|Antibiotics|Biology|Antimicrobial|Pace|Human health|Computational biology|Biotechnology|Microbiology|Medicine
Antimicrobial Peptides and Innate Lung Defenses,Pieter S. Hiemstra|Gimano D. Amatngalim|Anne M. van der Does|Christian Taube,2015,113,NOT Open Access,,|Leiden University Medical Center,1,Antimicrobial|Antibiotics|Antimicrobial peptides|Antibiotic resistance|Effector|Medicine|Innate immune system|Immune system|Immunology|Microbiology|Biology|Intensive care medicine
A review on antimicrobial peptides databases and the computational tools,Shahin Ramazi|Neda Mohammadi|Abdollah Allahverdi|Elham Khalili|Parviz Abdolmaleki,2022,139,Open Access,,Tarbiat Modares University|University of Bonn|Iran University of Medical Sciences,2,Computer science|Antimicrobial peptides|Database|Information retrieval|Antimicrobial|Computational biology|Biology|Microbiology
Predicting drug resistance evolution: insights from antimicrobial peptides and antibiotics,Guozhi Yu|Desiree Y. Baeder|Roland R. Regoes|Jens Rolff,2018,181,Open Access,Eidgenössische Technische Hochschule Zürich|China Scholarship Council|H2020 European Research Council,Freie Universität Berlin|ETH Zurich|Berlin Brandenburg Institute of Advanced Biodiversity Research,2,Pharmacodynamics|Antibiotics|Antibiotic resistance|Drug resistance|Antimicrobial|Antimicrobial peptides|Drug|Computational biology|Biology|Colistin|Risk analysis (engineering)|Resistance (ecology)|Intensive care medicine|Medicine|Pharmacology|Microbiology|Pharmacokinetics|Ecology
Advances in Lipid and Metal Nanoparticles for Antimicrobial Peptide Delivery,Marcin Makowski|Ítala C. Silva|Constança Pais do Amaral|Sónia Gonçalves|Nuno C. Santos,2019,148,Open Access,"Ministério da Ciência, Tecnologia e Ensino Superior|Fundação para a Ciência e a Tecnologia",University of Lisbon,1,Antimicrobial peptides|Antimicrobial|Liposome|Cytotoxicity|Druggability|Antibiotics|Chemistry|Peptide|Proteases|Drug delivery|Nanotechnology|Pharmacology|Microbiology|Medicine|Biology|Biochemistry|Materials science|In vitro
The Role of Outer Membrane Proteins and Lipopolysaccharides for the Sensitivity of Escherichia coli to Antimicrobial Peptides,Anna Ebbensgaard|Hanne Mordhorst|Frank M. Aarestrup|Egon Bech Hansen,2018,187,Open Access,"Ministeriet for Fø devarer, Landbrug og Fiskeri|Innovationsfonden|Grønt Udviklings- og Demonstrations Program",University of Copenhagen|Technical University of Denmark,1,Escherichia coli|Bacterial outer membrane|Antimicrobial peptides|Microbiology|Antimicrobial|Biology|Peptide|Antibiotics|Cecropin|Biochemistry|Chemistry|Gene
Antimicrobial peptide-based materials: opportunities and challenges,Akhilesh Rai|Rafaela Ferrão|Paulo Palma|Tatiana Patrício|Paula Parreira|Elsa Anes|Chiara Tonda‐Turo|M. Cristina L. Martins|Nuno Alves|Lino Ferreira,2022,124,NOT Open Access,Fundação para a Ciência e a Tecnologia|European Regional Development Fund,"University of Coimbra|Instituto Politécnico de Leiria|Universidade do Porto|i3S - Instituto de Investigação e Inovação em Saúde, Universidade do Porto|University of Lisbon|Politecnico di Torino",2,Antimicrobial|Peptide|Nanotechnology|Antimicrobial peptides|Cancer therapy|Cancer|Materials science|Medicine|Microbiology|Biology|Biochemistry|Internal medicine
Insect proteins as a potential source of antimicrobial peptides in livestock production. A review,Agata Józefiak|Ricarda M. Engberg,2017,169,Open Access,,University of Life Sciences in Poznań|Aarhus University,2,Antimicrobial|Livestock|Antimicrobial peptides|Production (economics)|Biotechnology|Biology|Microbiology|Ecology
AMPGAN v2: Machine Learning-Guided Design of Antimicrobial Peptides,Colin M. Van Oort|Jonathon B. Ferrell|Jacob M. Remington|Safwan Wshah|Jianing Li,2021,148,Open Access,National Institute of General Medical Sciences|Division of Chemistry,University of Vermont,1,Discriminator|Computer science|Machine learning|Generator (circuit theory)|Component (thermodynamics)|Artificial intelligence|Antimicrobial peptides|Generative adversarial network|Proof of concept|Generative grammar|Antimicrobial|Deep learning|Biology
Antimicrobial peptides (AMPs) as drug candidates: a patent review (2003–2015),Paulina Kosikowska|Adam Lesner,2016,161,NOT Open Access,,University of Gdańsk,1,Antimicrobial peptides|Antimicrobial|Antibiotics|Drug|Polymyxin|Computational biology|Biology|Medicine|Pharmacology|Microbiology
Proteomic Screening for Prediction and Design of Antimicrobial Peptides with AmpGram,Michał Burdukiewicz|Katarzyna Sidorczuk|Dominik Rafacz|Filip Pietluch|Jarosław Chilimoniuk|Stefan Rödiger|Przemysław Gagat,2020,126,Open Access,Narodowe Centrum Nauki|Politechnika Warszawska,Warsaw University of Technology|University of Wrocław|Brandenburg University of Technology Cottbus-Senftenberg,2,Antimicrobial peptides|Lactoferrin|Antimicrobial|Computational biology|Rational design|Biology|Virtual screening|Bioinformatics|Biochemistry|Microbiology|Drug discovery|Genetics
The revitalization of antimicrobial peptides in the resistance era,Yuan Liu|Jingru Shi|Ziwen Tong|Yuqian Jia|Bingqing Yang|Zhiqiang Wang,2020,104,NOT Open Access,National Natural Science Foundation of China|China Postdoctoral Science Foundation|Natural Science Foundation of Jiangsu Province|Jiangsu Agricultural Science and Technology Independent Innovation Fund|National Key Research and Development Program of China,Yangzhou University,1,Antimicrobial peptides|Antibiotic resistance|Antimicrobial|Biology|Antibiotics|Microbiology|Computational biology|Biotechnology
